1 2 3 4 5
version_number initial_mass initial_z burn_min1 burn_min2
7623 2.0000000000000001E-001 2.9999999999999997E-004 5.0000000000000000E+001 1.0000000000000000E+003

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38
model_number star_age star_mass log_L log_R log_Teff log_center_T log_center_Rho log_center_P center_degeneracy center_h1 center_he4 center_c12 center_n14 center_o16 center_o18 center_ne22 dynamic_timescale kh_timescale nuc_timescale pp cno tri_alfa log_LH log_LHe log_LZ log_Lneu he_core_mass c_core_mass o_core_mass he_core_radius c_core_radius o_core_radius surf_avg_omega_div_omega_crit log_total_angular_momentum surf_avg_omega surf_avg_v_rot star_mdot
10 2.5958682111999992E-004 1.9999999999998436E-001 1.0067680664587149E+000 7.5996470048823972E-001 3.6333390845968725E+000 5.4772326752247853E+000 -1.8679576977396344E+000 1.1741022576199176E+001 -4.7769265955914904E+000 7.5910000000000000E-001 2.4057439531770919E-001 5.1005022625684221E-005 1.5063056338577886E-005 1.4003522653352138E-004 3.1597727572753964E-007 9.2839132202849386E-005 3.0900508368610230E+005 1.6065963033993376E+004 1.9690735080144215E+008 -2.0776842919635037E+001 -8.1889244322463242E+001 -9.8999999999999986E+001 -2.0776842919635037E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1420848633396300E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.8835943603528402E-011
11 3.2150418534399988E-004 1.9999999999998069E-001 1.0032133525775258E+000 7.5990829506324353E-001 3.6324786088390728E+000 5.4772688481932459E+000 -1.8679221440392744E+000 1.1741095422512169E+001 -4.7769626719543616E+000 7.5910000000000000E-001 2.4057439531770922E-001 5.1005022625684228E-005 1.5063056338577888E-005 1.4003522653352138E-004 3.1597727572753964E-007 9.2839132202849386E-005 3.0894488997153006E+005 1.6200106986931676E+004 1.9852565752047884E+008 -2.0777004063738374E+001 -8.1890429826664786E+001 -9.8999999999999986E+001 -2.0777004063738374E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1421009777499641E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.8443035779346433E-011
12 3.9580502241279986E-004 1.9999999999997636E-001 9.9980584994288768E-001 7.5984982202645868E-001 3.6316559696988060E+000 5.4772689791003781E+000 -1.8679211542786935E+000 1.1741097197903610E+001 -4.7769618638880518E+000 7.5910000000000000E-001 2.4057439531770919E-001 5.1005022625684235E-005 1.5063056338577886E-005 1.4003522653352138E-004 3.1597727572753964E-007 9.2839132202849386E-005 3.0888250215886947E+005 1.6329912524986859E+004 2.0008942939352140E+008 -2.0777007402282376E+001 -8.1890425771055504E+001 -9.8999999999999986E+001 -2.0777007402282376E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1421013116043639E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.7959101948076326E-011
13 4.8496602689535978E-004 1.9999999999997123E-001 9.9682552593934870E-001 7.5979305546929998E-001 3.6309392719765006E+000 5.4772680850853108E+000 -1.8679208192012702E+000 1.1741095692118275E+001 -4.7769588520186810E+000 7.5910000000000000E-001 2.4057439531770919E-001 5.1005022625684221E-005 1.5063056338577886E-005 1.4003522653352138E-004 3.1597727572753964E-007 9.2839132202849386E-005 3.0882194712719030E+005 1.6444510440818438E+004 2.0146725524585947E+008 -2.0777008293469102E+001 -8.1890420327861037E+001 -9.8999999999999986E+001 -2.0777008293469102E+001 -9.8999999999999986E+001 -3.6248538216286043E+001 -2.1421014007230365E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.7498388370947551E-011
14 5.9195923227443165E-004 1.9999999999996512E-001 9.9375609948090704E-001 7.5973424695517244E-001 3.6302013196189540E+000 5.4772680681904671E+000 -1.8679180480385140E+000 1.1741098922066344E+001 -4.7769522483765128E+000 7.5910000000000000E-001 2.4057439531770919E-001 5.1005022625684235E-005 1.5063056338577886E-005 1.4003522653352138E-004 3.1597727572753964E-007 9.2839132202849386E-005 3.0875922638259246E+005 1.6563388323391413E+004 2.0289619200315642E+008 -2.0777008647198610E+001 -8.1890412052120567E+001 -9.8999999999999986E+001 -2.0777008647198610E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1421014360959873E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.7097695659861862E-011
15 7.2035107872931792E-004 1.9999999999995782E-001 9.9067856972541379E-001 7.5967444911362803E-001 3.6294618361008526E+000 5.4772673731682930E+000 -1.8679155399239884E+000 1.1741100403678207E+001 -4.7769426825062906E+000 7.5910000000000000E-001 2.4057439531770919E-001 5.1005022625684228E-005 1.5063056338577886E-005 1.4003522653352138E-004 3.1597727572753964E-007 9.2839132202849386E-005 3.0869546355728514E+005 1.6683474868520225E+004 2.0433907634037235E+008 -2.0777006993386298E+001 -8.1890397265252204E+001 -9.8999999999999986E+001 -2.0777006993386298E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1421012707147561E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.6687897071110289E-011
16 8.7442129447518155E-004 1.9999999999994916E-001 9.8765970459637020E-001 7.5961452399941320E-001 3.6287370823756993E+000 5.4772658807064882E+000 -1.8679135296245784E+000 1.1741101419931246E+001 -4.7769336264525641E+000 7.5910000000000000E-001 2.4057439531770916E-001 5.1005022625684228E-005 1.5063056338577886E-005 1.4003522653352138E-004 3.1597727572753964E-007 9.2839132202849386E-005 3.0863157823023305E+005 1.6802167185109702E+004 2.0576442506824705E+008 -2.0777000510986301E+001 -8.1890360530871362E+001 -9.8999999999999986E+001 -2.0777000510986301E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1421006224747565E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.6279861349321574E-011
17 1.0593055533702177E-003 1.9999999999993889E-001 9.8453852466255765E-001 7.5955361071407335E-001 3.6279872440349159E+000 5.4772642715676580E+000 -1.8679109618192071E+000 1.1741101428088907E+001 -4.7769241431420220E+000 7.5910000000000000E-001 2.4057439531770922E-001 5.1005022625684221E-005 1.5063056338577888E-005 1.4003522653352138E-004 3.1597727572753964E-007 9.2839132202849386E-005 3.0856665297779691E+005 1.6925729463175307E+004 2.0724853581708553E+008 -2.0777001451745083E+001 -8.1890363508382151E+001 -9.8999999999999986E+001 -2.0777001451745083E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1421007165506346E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.5882294354104095E-011
18 1.2811666640442612E-003 1.9999999999992657E-001 9.8186239895506389E-001 7.5949636928071207E-001 3.6273468333247236E+000 5.4772627800632936E+000 -1.8679074833545761E+000 1.1741104702877980E+001 -4.7769111421852806E+000 7.5910000000000000E-001 2.4057439531770922E-001 5.1005022625684235E-005 1.5063056338577888E-005 1.4003522653352138E-004 3.1597727572753964E-007 9.2839132202849386E-005 3.0850565386656718E+005 1.7032592731662513E+004 2.0852954552101880E+008 -2.0777002745496372E+001 -8.1890366579566532E+001 -9.8999999999999986E+001 -2.0777002745496372E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1421008459257635E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.5474338903262320E-011
19 1.5473999968531134E-003 1.9999999999991189E-001 9.7924946039451222E-001 7.5943994142958005E-001 3.6267218126101510E+000 5.4772610642739474E+000 -1.8679035952117491E+000 1.1741106217211906E+001 -4.7768959677922016E+000 7.5910000000000000E-001 2.4057439531770919E-001 5.1005022625684228E-005 1.5063056338577888E-005 1.4003522653352138E-004 3.1597727572753964E-007 9.2839132202849386E-005 3.0844553354885691E+005 1.7137604992612858E+004 2.0978794812346169E+008 -2.0776992256298886E+001 -8.1890311628003118E+001 -9.8999999999999986E+001 -2.0776992256298886E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1420997970060153E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.5126290355056982E-011
